"time","surv","nrisk","nevent","arm"
2.6009582477755,0.998454279965977,285123,2,"not linked"
2.60369609856263,0.998433247182403,284828,6,"not linked"
2.60643394934976,0.998433247182403,284442,0,"not linked"
2.60917180013689,0.998433247182403,284095,0,"not linked"
2.61190965092402,0.998429729553457,283837,1,"not linked"
2.61464750171116,0.998429729553457,283554,0,"not linked"
2.61738535249829,0.998429729553457,283511,0,"not linked"
2.62012320328542,0.998429729553457,283387,0,"not linked"
2.62286105407255,0.998429729553457,283003,0,"not linked"
2.62559890485969,0.998429729553457,282711,0,"not linked"
2.62833675564682,0.998429729553457,282356,0,"not linked"
2.63107460643395,0.998429729553457,281638,0,"not linked"
2.63381245722108,0.998429729553457,281262,0,"not linked"
2.63655030800821,0.998429729553457,281232,0,"not linked"
2.63928815879535,0.998429729553457,281168,0,"not linked"
2.64202600958248,0.998426176625049,281016,1,"not linked"
2.64476386036961,0.998422621951022,280877,1,"not linked"
2.64750171115674,0.998422621951022,280621,0,"not linked"
2.65023956194387,0.998419063260614,280559,1,"not linked"
2.65297741273101,0.998419063260614,280507,0,"not linked"
2.65571526351814,0.998419063260614,280482,0,"not linked"
2.65845311430527,0.998419063260614,280421,0,"not linked"
2.6611909650924,0.998419063260614,280188,0,"not linked"
2.66392881587953,0.99841549503146,279808,1,"not linked"
2.66666666666667,0.99841549503146,279417,0,"not linked"
2.6694045174538,0.99841549503146,279138,0,"not linked"
2.67214236824093,0.99841549503146,278842,0,"not linked"
2.67488021902806,0.998411913772892,278789,1,"not linked"
2.6776180698152,0.998411913772892,278664,0,"not linked"
2.68035592060233,0.998408326621259,278330,1,"not linked"
2.68309377138946,0.998408326621259,277911,0,"not linked"
2.68583162217659,0.998401132752089,277572,2,"not linked"
2.68856947296372,0.998401132752089,277287,0,"not linked"
2.69130732375086,0.998401132752089,276980,0,"not linked"
2.69404517453799,0.998401132752089,276930,0,"not linked"
2.69678302532512,0.998401132752089,276772,0,"not linked"
2.69952087611225,0.998397521336452,276457,1,"not linked"
2.70225872689938,0.998393905080933,276086,1,"not linked"
2.70499657768652,0.998393905080933,275790,0,"not linked"
2.70773442847365,0.998393905080933,275561,0,"not linked"
2.71047227926078,0.998393905080933,275354,0,"not linked"
2.71321013004791,0.998390278461203,275296,1,"not linked"
2.71594798083504,0.998390278461203,275157,0,"not linked"
2.71868583162218,0.998386645255922,274796,1,"not linked"
2.72142368240931,0.998383005467643,274298,1,"not linked"
2.72416153319644,0.998383005467643,273930,0,"not linked"
2.72689938398357,0.998379356313588,273593,1,"not linked"
2.7296372347707,0.998379356313588,273182,0,"not linked"
2.73237508555784,0.998379356313588,273137,0,"not linked"
2.73511293634497,0.998375699366907,273009,1,"not linked"
2.7378507871321,0.998375699366907,272756,0,"not linked"
2.74058863791923,0.998372035091892,272462,1,"not linked"
2.74332648870637,0.998372035091892,272071,0,"not linked"
2.7460643394935,0.998372035091892,271821,0,"not linked"
2.74880219028063,0.998372035091892,271534,0,"not linked"
2.75154004106776,0.998372035091892,271492,0,"not linked"
2.75427789185489,0.998372035091892,271355,0,"not linked"
2.75701574264203,0.998372035091892,271067,0,"not linked"
2.75975359342916,0.998372035091892,270663,0,"not linked"
2.76249144421629,0.998372035091892,270335,0,"not linked"
2.76522929500342,0.998372035091892,270055,0,"not linked"
2.76796714579055,0.998372035091892,269751,0,"not linked"
2.77070499657769,0.998372035091892,269709,0,"not linked"
2.77344284736482,0.998372035091892,269576,0,"not linked"
2.77618069815195,0.998368327668537,269290,1,"not linked"
2.77891854893908,0.998357188770104,268887,3,"not linked"
